#Sensor,HR,PULSE,RESP,SpO2,HR_L,PULSE_L,RESP_L,Spo2_L
1,94,93,25,97,0,0,1,0
1,94,93,25,97,0,0,1,0
1,94,93,25,97,0,0,1,0
1,92,93,26,97,0,0,1,0
1,93,93,26,97,0,0,1,0
1,93,93,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,95,94,26,97,0,0,1,0
1,94,94,26,97,0,0,1,0
1,94,94,24,97,0,0,1,0
1,94,94,24,97,0,0,1,0
1,94,94,25,97,0,0,1,0
1,94,94,25,97,0,0,1,0
1,94,94,25,97,0,0,1,0
1,94,94,25,97,0,0,1,0
1,94,94,25,97,0,0,1,0
1,94,94,25,97,0,0,1,0
1,94,94,25,97,0,0,1,0
1,94,94,24,98,0,0,1,0
1,94,94,24,98,0,0,1,0
1,94,94,24,98,0,0,1,0
1,94,94,24,98,0,0,1,0
1,94,94,24,98,0,0,1,0
1,94,94,24,98,0,0,1,0
1,94,94,24,98,0,0,1,0
1,93,94,24,98,0,0,1,0
1,93,94,24,98,0,0,1,0
1,93,94,24,97,0,0,1,0
1,93,94,24,97,0,0,1,0
1,93,94,24,97,0,0,1,0
1,92,94,24,97,0,0,1,0
1,92,94,24,97,0,0,1,0
1,92,94,24,97,0,0,1,0
1,92,93,23,97,0,0,1,0
1,92,93,23,97,0,0,1,0
1,92,93,23,97,0,0,1,0
1,92,92,23,97,0,0,1,0
1,95,92,23,97,0,0,1,0
1,95,92,23,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,91,92,22,97,0,0,1,0
1,89,92,22,97,0,0,1,0
1,91,92,22,97,0,0,1,0
1,91,92,22,97,0,0,1,0
1,91,92,21,97,0,0,1,0
1,91,92,21,97,0,0,1,0
1,91,92,21,97,0,0,1,0
1,90,92,21,97,0,0,1,0
1,90,91,21,97,0,0,1,0
1,90,91,21,97,0,0,1,0
1,90,91,21,97,0,0,1,0
1,90,91,21,97,0,0,1,0
1,90,91,21,97,0,0,1,0
1,90,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,90,90,20,97,0,0,0,0
1,90,89,20,97,0,0,0,0
1,91,89,20,97,0,0,0,0
1,91,89,20,97,0,0,0,0
1,91,89,20,97,0,0,0,0
1,91,89,20,97,0,0,0,0
1,91,89,21,97,0,0,1,0
1,91,89,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,22,97,0,0,1,0
1,91,91,22,97,0,0,1,0
1,91,91,22,97,0,0,1,0
1,91,91,22,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,91,23,97,0,0,1,0
1,93,91,23,97,0,0,1,0
1,93,91,23,97,0,0,1,0
1,93,91,23,97,0,0,1,0
1,93,91,23,97,0,0,1,0
1,93,91,23,97,0,0,1,0
1,93,91,23,97,0,0,1,0
1,93,91,23,97,0,0,1,0
1,93,91,23,97,0,0,1,0
1,90,91,23,97,0,0,1,0
1,92,91,23,97,0,0,1,0
1,92,91,23,97,0,0,1,0
1,92,91,23,97,0,0,1,0
1,92,91,23,97,0,0,1,0
1,92,91,23,97,0,0,1,0
1,92,90,23,97,0,0,1,0
1,92,92,22,98,0,0,1,0
1,92,92,21,98,0,0,1,0
1,92,91,21,98,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,92,21,97,0,0,1,0
1,91,92,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,20,97,0,0,0,0
1,91,90,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,92,90,21,97,0,0,1,0
1,92,90,21,97,0,0,1,0
1,92,90,21,97,0,0,1,0
1,92,91,21,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,91,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,92,92,22,97,0,0,1,0
1,91,92,22,97,0,0,1,0
1,91,92,22,97,0,0,1,0
1,91,92,22,97,0,0,1,0
1,91,92,21,97,0,0,1,0
1,91,92,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,93,91,21,97,0,0,1,0
1,92,91,21,97,0,0,1,0
1,92,91,21,97,0,0,1,0
1,92,91,21,97,0,0,1,0
1,92,91,21,97,0,0,1,0
1,92,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,89,91,22,97,0,0,1,0
1,90,91,22,97,0,0,1,0
1,90,91,22,97,0,0,1,0
1,90,90,22,97,0,0,1,0
1,90,90,22,97,0,0,1,0
1,90,90,22,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,90,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,21,97,0,0,1,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,97,0,0,0,0
1,91,91,20,96,0,0,0,0
1,91,91,20,96,0,0,0,0
1,91,91,20,96,0,0,0,0
1,91,91,20,96,0,0,0,0
1,91,91,20,96,0,0,0,0
1,91,91,20,96,0,0,0,0
1,91,91,21,96,0,0,1,0
1,91,91,21,96,0,0,1,0
1,91,91,21,96,0,0,1,0
